progresiva_km,velocidad_max_kmh,lat,lon,fuente,observacion
0,20,-29.509447,-68.580241,foto_gps_campo,Senal en garita de ingreso
32,60,-29.318633,-68.648438,foto_gps_campo,Senal proxima a cartel El Zapallar
35,40,-29.299389,-68.681724,foto_gps_campo,Senales de 40 y 35 en el mismo sector
