latitude,longitude,temp_media_2001_2025_c,dias_min_bajo_0c_anuales,dias_congelamiento_deshielo_anuales,precipitacion_anual_media_mm,precipitacion_diaria_p95_mm,viento_medio_ms,viento_p95_ms,fraccion_horas_nieve_gt0pct,fraccion_horas_nieve_ge10pct,fraccion_horas_nieve_ge50pct,nieve_profundidad_p95_m,cobertura_nieve_media_pct
-28.5999999999993,-69.10000000000235,1.5206175,300.88,236.28,195.91861,3.143717408180237,3.3180432,7.14545223712921,0.671626875479137,0.2924332858759537,0.22266181141167452,0.427734375,23.026455
-28.5999999999993,-69.00000000000233,0.36033526,325.88,260.08,208.89717,3.2863409519195557,3.107737,6.7833988666534415,0.6374119300551235,0.2507985616763407,0.1723752418501077,0.322265625,18.436417
-28.5999999999993,-68.90000000000231,1.0564574,321.08,272.4,249.36487,3.9389431476593018,2.7481556,6.043005251884455,0.6277151096995582,0.21691216734202168,0.11742507209871135,0.173828125,13.400752
-28.5999999999993,-68.80000000000229,4.79463,247.44,235.8,289.37857,4.711957931518555,2.5558622,5.464323949813839,0.589479976636367,0.14562114408790566,0.05505056036213631,0.0615234375,7.2727904
-28.5999999999993,-68.70000000000226,8.475647,146.76,144.08,451.53442,5.988022565841675,2.2557516,4.345487952232361,0.5188141130945862,0.09431241558062278,0.028155003102982513,0.0263671875,4.2029376
-28.5999999999993,-68.60000000000224,10.478425,97.04,95.72,739.9565,9.883057117462158,1.829785,4.013978219032287,0.47577848355419267,0.08462472164421568,0.0295148395575512,0.025390625,4.0791416
-28.5999999999993,-68.50000000000222,11.596722,70.64,69.8,1042.0579,14.629422664642334,1.8332893,4.153752613067627,0.4391769795203154,0.0809924068192604,0.036455481327346405,0.03125,4.4257464
-28.699999999999303,-69.10000000000235,2.7270436,270.24,222.12,195.49715,3.144441604614258,3.0610507,6.788327980041499,0.6683550542109298,0.25090351549665973,0.18262421056474282,0.373046875,18.83887
-28.699999999999303,-69.00000000000233,1.4209036,307.8,255.08,201.96873,3.118600845336914,2.9242764,6.548937344551084,0.605588106450553,0.2206585624064542,0.14562114408790566,0.2451171875,15.290704
-28.699999999999303,-68.90000000000231,2.0904708,297.44,261.4,238.45357,3.7608872652053833,2.6504898,5.920295357704159,0.6079974811083123,0.1832402438579199,0.09517029898149162,0.1103515625,10.513534
-28.699999999999303,-68.80000000000229,5.9650445,202.88,195.76,275.9117,4.307332754135132,2.5114791,5.477232575416562,0.5829956558244807,0.11698700397911875,0.03935768261964735,0.0390625,5.3864627
-28.699999999999303,-68.70000000000226,9.605799,119.28,117.56,375.09985,5.039678573608398,2.2791395,4.475931215286255,0.49187292373964153,0.07091684006863067,0.01779651735844924,0.0166015625,3.0556564
-28.699999999999303,-68.60000000000224,11.233348,81.12,80.16,540.0122,7.419169187545776,1.8541591,3.9287915945053093,0.46461687292373965,0.06298598182017304,0.017221552951483955,0.0146484375,2.810419
-28.699999999999303,-68.50000000000222,11.76275,66.52,65.8,713.27234,10.114103317260742,1.7697675,4.032708382606505,0.4418966524294528,0.05963202277954222,0.020456868543058445,0.0146484375,2.9865625
-28.799999999999304,-69.10000000000235,3.5611298,246.68,208.8,193.89845,3.0481590032577515,2.8994384,6.49672844409942,0.6445487898368196,0.21874657759281568,0.15044445661300332,0.310546875,15.977028
-28.799999999999304,-69.00000000000233,2.3881943,286.8,247.12,198.66566,2.9577401876449585,2.8020554,6.320964765548705,0.5976253057350418,0.19938031613915963,0.12110301901945753,0.19140625,12.790075
-28.799999999999304,-68.90000000000231,3.295009,269.96,246.88,232.4225,3.6143990755081177,2.5977964,5.825318193435668,0.5927837403716278,0.15328277297119702,0.06571478114846858,0.0703125,7.9557033
-28.799999999999304,-68.80000000000229,6.6478643,189.56,184.36,267.36142,4.083487033843994,2.5324516,5.510382485389709,0.546165991311649,0.08750867009820026,0.023810827583689263,0.0224609375,3.8926134
-28.799999999999304,-68.70000000000226,8.661959,136.16,133.92,315.36914,4.618198871612549,2.3451023,4.596623873710628,0.46963640346073815,0.057911692768225456,0.014775672617091958,0.0126953125,2.612936
-28.799999999999304,-68.60000000000224,9.327449,111.04,109.24,381.9223,5.784087896347046,1.9399959,3.9286943435668937,0.4460491731464243,0.04880352644836272,0.014597707443507465,0.009765625,2.36188
-28.799999999999304,-68.50000000000222,10.731368,71.4,70.12,448.56644,6.982606410980225,1.8483883,4.083507084846496,0.41467710729018364,0.039558463841127295,0.0153688898623736,0.005859375,2.1823754
-28.899999999999306,-69.10000000000235,3.9922097,231.24,201.12,198.11635,3.224083185195923,2.6106415,5.7980425119399985,0.601047712919359,0.19457525645237833,0.1181871280984193,0.1669921875,12.360731
-28.899999999999306,-69.00000000000233,3.49364,253.6,227.36,227.83147,3.4154926538467407,2.4592335,5.415779209136961,0.5700635198773409,0.15109699558281312,0.0746632351330632,0.0849609375,8.546563
-28.899999999999306,-68.90000000000231,5.2428193,212.84,203.16,281.73895,4.118128299713135,2.2641478,4.9602931976318345,0.5267860402292557,0.10990490271237177,0.03553371299237031,0.037109375,5.0607924
-28.899999999999306,-68.80000000000229,7.319024,174.76,170.12,334.74,5.02999210357666,2.2144117,4.711170101165771,0.4970293505640127,0.06987642828459825,0.018170700543934583,0.015625,3.0240076
-28.899999999999306,-68.70000000000226,7.241813,165.72,161.56,378.83887,5.604450464248657,2.0110679,3.912671053409576,0.46846822180849124,0.060681560982732814,0.016637462125360495,0.013671875,2.7421234
-28.899999999999306,-68.60000000000224,6.7364545,160.0,155.48,414.45676,6.000625371932983,1.7135173,3.5062283277511597,0.43504271164166025,0.05904336874383967,0.019115284926806118,0.013671875,2.934452
-28.899999999999306,-68.50000000000222,8.550921,114.8,112.12,444.97815,6.967419862747192,1.7025162,3.5761048436164846,0.3869464826780564,0.05219855437520535,0.020666776183696566,0.0107421875,2.8349829
-28.999999999999307,-69.10000000000235,4.5895505,212.64,190.16,218.55649,3.598570704460144,2.2453718,4.811515235900878,0.5929890848026869,0.15336491074362063,0.07809020552695944,0.095703125,9.084003
-28.999999999999307,-69.00000000000233,3.9716973,234.76,214.84,255.17311,3.8428033590316772,2.121786,4.489027070999144,0.5289398751505859,0.12443872522177199,0.05500036505676633,0.056640625,6.4172897
-28.999999999999307,-68.90000000000231,5.5025816,202.36,193.48,339.8497,4.997359037399292,1.9199072,4.0408720493316626,0.5129321359471398,0.09054776767787391,0.0296882415215566,0.025390625,4.035714
-28.999999999999307,-68.80000000000229,7.581331,156.4,152.2,417.33563,6.269840240478516,1.8484218,3.756278753280639,0.48385080129960206,0.06021155039608659,0.01465246595845654,0.0126953125,2.617435
-28.999999999999307,-68.70000000000226,7.383265,154.8,150.24,463.84616,6.755575656890869,1.74619,3.4015214562416065,0.43910396816705,0.060841273318000946,0.016240462891979703,0.013671875,2.704798
-28.999999999999307,-68.60000000000224,6.5822263,161.76,156.36,472.47522,6.840713739395142,1.5408458,3.0910846352577206,0.419180995144745,0.06673237688460555,0.023117219727667653,0.0166015625,3.3262775
-28.999999999999307,-68.50000000000222,8.366596,119.2,115.84,471.38095,7.34096884727478,1.5831219,3.047632062435148,0.3964288321834045,0.06357919906545467,0.02607417953491768,0.0166015625,3.494086
-29.09999999999931,-69.10000000000235,4.4783998,211.48,190.72,231.95578,3.808582067489624,1.9607075,4.051419019699096,0.5686717409557186,0.13157102179388894,0.0616900302997116,0.0703125,7.5379887
-29.09999999999931,-69.00000000000233,2.8511908,255.24,229.28,279.5091,4.25183629989624,1.8489271,3.7177940249443044,0.49425948234950534,0.10913372029350564,0.04393458182747417,0.0419921875,5.680017
-29.09999999999931,-68.90000000000231,4.249875,221.76,208.08,378.2914,5.67501974105835,1.674983,3.3130312561988813,0.4852060745445917,0.08608038549994525,0.027046143175263753,0.0234375,3.9420364
-29.09999999999931,-68.80000000000229,8.068933,149.2,145.24,473.90875,7.142022132873535,1.6821423,3.2421951651573155,0.4551938451429197,0.05630087978680685,0.01384477786295769,0.01171875,2.478828
-29.09999999999931,-68.70000000000226,9.87295,118.8,116.0,516.55927,7.486569404602051,1.6356914,3.1390555381774896,0.40256634906727995,0.05528784726024897,0.01414138648559851,0.01171875,2.4574492
-29.09999999999931,-68.60000000000224,9.29226,115.8,112.64,501.2516,7.3751060962677,1.499051,2.9130672097206114,0.39659310772825174,0.06282170627532581,0.022099623991530683,0.015625,3.1738286
-29.09999999999931,-68.50000000000222,10.643963,81.2,79.04,486.16995,7.517734050750732,1.5984751,2.9381043195724486,0.3697705618223634,0.06599313693279305,0.026649143941882964,0.0185546875,3.532672
-29.19999999999931,-69.10000000000235,3.9281015,220.68,197.6,240.43867,3.91690731048584,1.7464784,3.5873962998390168,0.5478726316942285,0.12808016646588544,0.05152776256707918,0.05859375,6.814485
-29.19999999999931,-69.00000000000233,2.8633425,247.84,222.88,295.0973,4.4732420444488525,1.6393334,3.156262600421904,0.5157887051436498,0.10113441390136166,0.03682053809367357,0.03515625,5.108352
-29.19999999999931,-68.90000000000231,4.8016734,212.0,201.2,379.8848,5.632707118988037,1.535989,2.9869234442710875,0.47033457452633887,0.08362537874639507,0.026215639031869457,0.0234375,3.8985498
-29.19999999999931,-68.80000000000229,9.480242,130.28,127.52,462.36194,6.853604316711426,1.6171135,3.1385114669799794,0.4435850399737159,0.060512722228306504,0.013730697623480451,0.0126953125,2.5881283
