km_inicio,km_fin,latitud_centro,longitud_centro,temp_media_2001_2025_c,dias_min_bajo_0c_anuales,dias_congelamiento_deshielo_anuales,precipitacion_anual_media_mm,precipitacion_diaria_p95_mm,viento_medio_ms,viento_p95_ms,fraccion_horas_nieve_gt0pct,fraccion_horas_nieve_ge10pct,fraccion_horas_nieve_ge50pct,nieve_profundidad_p95_m,cobertura_nieve_media_pct,metodo_clima
0,1,-29.505851342110084,-68.58199841872907,15.705271535808922,35.67326563582408,35.27479253934354,429.312945512681,6.536419950585133,1.5539653921205003,3.0293519511364684,0.2521160793750896,0.038607411185866955,0.006939647001050663,0.006251405410837287,1.5195721026068645,ERA5-Land ARCO 2001-2025; interpolacion bilineal en centro de segmento
1,2,-29.49777801851214,-68.58388206536405,15.674230480646624,36.719174986951145,36.30642313575293,430.06587359146886,6.548958986630307,1.5510283016652882,3.023893483583453,0.25343871559504744,0.039198508673624594,0.0071923386118238905,0.006388928858363237,1.5501245566709025,ERA5-Land ARCO 2001-2025; interpolacion bilineal en centro de segmento
2,3,-29.489700380442095,-68.58579620547462,15.604304376068763,38.08569481163065,37.6517712621982,429.70699667739405,6.552903583827587,1.5552612853445014,3.026326916019352,0.2579004113736383,0.0396797595379161,0.007478469353814964,0.006534679421615343,1.579823431657895,ERA5-Land ARCO 2001-2025; interpolacion bilineal en centro de segmento
3,4,-29.481684075322356,-68.58800008166426,15.539634271709504,39.42079506648033,38.966697839656824,429.4731336286424,6.558117260387304,1.559410030244509,3.0287351014255717,0.26238627965130407,0.04016778054870627,0.007756476025950856,0.006684707672530414,1.6093031835024683,ERA5-Land ARCO 2001-2025; interpolacion bilineal en centro de segmento
4,5,-29.47359003605531,-68.58982240586944,15.481868950190075,40.69265285284047,40.2200005030323,428.637700393115,6.554136320707316,1.5636873317332767,3.031807382543571,0.26685171387168055,0.04060091430234423,0.008024185940506712,0.006821924614125538,1.6369283869490099,ERA5-Land ARCO 2001-2025; interpolacion bilineal en centro de segmento
5,6,-29.46549567845537,-68.59164480174526,15.429668368696452,41.92255028568386,41.43252214983861,427.62565729034736,6.547117171037333,1.5679726081766376,3.035134852447831,0.27132254705939285,0.04101556798781885,0.008283479028389214,0.006956265930129268,1.6636939373988195,ERA5-Land ARCO 2001-2025; interpolacion bilineal en centro de segmento
6,7,-29.45741878739325,-68.59353052872015,15.383206753780424,43.110566235481926,42.604356120591945,426.4975049811465,6.537899951037533,1.5722435456137482,3.038663572234259,0.27580086453656133,0.04141640780916428,0.008533961019534821,0.0070891365046964585,1.689694733144927,ERA5-Land ARCO 2001-2025; interpolacion bilineal en centro de segmento
7,8,-29.44980380167879,-68.5961081752243,15.346733922918155,44.21372375772854,43.693379297636284,425.91668204990486,6.5354008925458436,1.576126162085613,3.041739578369412,0.2801708815861623,0.04183862913392999,0.00876217712832038,0.007231194063188818,1.7150120102727235,ERA5-Land ARCO 2001-2025; interpolacion bilineal en centro de segmento
8,9,-29.4427042379227,-68.59992067305832,15.324933490228753,45.21780554639352,44.68610917705057,426.2486833275027,6.544371445174012,1.5794910978283114,3.044132427161804,0.2845049046273424,0.04231272450824463,0.008962036549642824,0.007393586252167081,1.7401421729193556,ERA5-Land ARCO 2001-2025; interpolacion bilineal en centro de segmento
9,10,-29.434481890614556,-68.60057393663813,15.286411716800078,46.29860741557225,45.75292348284194,423.4638928590474,6.511250220795642,1.5848524619589828,3.0508572926672684,0.28904377136279225,0.04255872268870598,0.009200584954235574,0.007485232953384989,1.7619192487053505,ERA5-Land ARCO 2001-2025; interpolacion bilineal en centro de segmento
