lat,lon,elevacion_m,toponimo,fuente,fecha,elev_dem_m,error_m,error_abs_m
-29.509906,-68.579747,1074.91,Garita Portal Guandacol,google_earth,2026-08,1078.0355224609375,3.125522460937418,3.125522460937418
-29.498642,-68.583756,1098.5,,google_earth,2026-08,1100.8533935546875,2.3533935546875,2.3533935546875
-29.463292,-68.592186,1197.48,,google_earth,2026-08,1199.5714111328125,2.091411132812482,2.091411132812482
-29.386208,-68.6241,1351.01,,google_earth,2026-08,1349.9259033203125,-1.084096679687491,1.084096679687491
-29.394214,-68.625139,1358.18,,google_earth,2026-08,1362.610107421875,4.430107421874936,4.430107421874936
-29.378578,-68.613617,1345.28,Finca Guandacol,google_earth,2026-08,1347.3663330078125,2.0863330078125273,2.0863330078125273
-29.363119,-68.600219,1375.59,Guandacol,google_earth,2026-08,1378.68994140625,3.099941406250082,3.099941406250082
-29.357767,-68.604403,1409.98,,google_earth,2026-08,1417.617919921875,7.637919921874982,7.637919921874982
-29.351728,-68.625786,1436.51,,google_earth,2026-08,1432.6298828125,-3.880117187499991,3.880117187499991
-29.334561,-68.638797,1479.66,,google_earth,2026-08,1480.5416259765625,0.8816259765624181,0.8816259765624181
-29.356769,-68.621519,1488.59,,google_earth,2026-08,1492.846923828125,4.256923828125082,4.256923828125082
-29.324533,-68.646581,1542.2,,google_earth,2026-08,1539.4644775390625,-2.7355224609375455,2.7355224609375455
-29.296422,-68.685444,1678.51,,google_earth,2026-08,1677.40380859375,-1.106191406249991,1.106191406249991
-29.273867,-68.725067,1802.96,,google_earth,2026-08,1796.322509765625,-6.637490234375036,6.637490234375036
-29.229956,-68.706117,1818.14,,google_earth,2026-08,1817.3214111328125,-0.8185888671876,0.8185888671876
-29.232767,-68.712628,1832.76,,google_earth,2026-08,1833.380859375,0.6208593750000091,0.6208593750000091
-29.259858,-68.729542,1845.3,,google_earth,2026-08,1843.9744873046875,-1.3255126953124545,1.3255126953124545
-29.201025,-68.708017,1916.13,,google_earth,2026-08,1915.611328125,-0.5186718750001091,0.5186718750001091
-29.168586,-68.720736,2039.81,,google_earth,2026-08,2040.865234375,1.0552343750000546,1.0552343750000546
-29.131261,-68.742431,2174.78,,google_earth,2026-08,2172.9580078125,-1.8219921875002,1.8219921875002
-29.090689,-68.756231,2306.0,,google_earth,2026-08,2307.796875,1.796875,1.796875
-29.042064,-68.782433,2526.53,,google_earth,2026-08,2520.90478515625,-5.6252148437502,5.6252148437502
-28.971903,-68.776433,2789.68,,google_earth,2026-08,2783.594482421875,-6.085517578124836,6.085517578124836
-28.879328,-68.788967,3113.94,,google_earth,2026-08,3113.1572265625,-0.7827734375000546,0.7827734375000546
-28.820311,-68.848597,3443.92,Refugio El Leoncito,google_earth,2026-08,3438.615478515625,-5.304521484375073,5.304521484375073
-28.82195,-68.858011,3485.4,,google_earth,2026-08,3483.357666015625,-2.042333984375091,2.042333984375091
-28.731242,-68.993339,3654.65,Salinas del Leoncito,google_earth,2026-08,3654.686767578125,0.03676757812490905,0.03676757812490905
-28.747728,-69.049461,3672.97,,google_earth,2026-08,3670.162841796875,-2.8071582031248,2.8071582031248
-28.752028,-68.951553,3780.18,,google_earth,2026-08,3782.4267578125,2.2467578125001637,2.2467578125001637
-28.778289,-68.928267,3863.95,,google_earth,2026-08,3858.039794921875,-5.910205078124818,5.910205078124818
-28.775108,-68.941892,3985.33,Paso del Leoncito,google_earth,2026-08,3980.268310546875,-5.061689453124927,5.061689453124927
