km_inicio,km_fin,buffer_m,pendiente_terreno_media_pct,pendiente_terreno_p90_pct,relieve_local_m,n_celdas_pendiente,n_celdas_elevacion
0,1,250.0,2.644601583480835,3.7213797569274902,22.0657958984375,781,781
1,2,250.0,3.8557260036468506,4.739120006561279,46.745361328125,781,781
2,3,250.0,4.104226112365723,4.792759895324707,34.5469970703125,780,780
3,4,250.0,5.3501763343811035,6.927840709686279,51.575439453125,782,782
4,5,250.0,6.520561695098877,7.754977226257324,57.336181640625,780,780
5,6,250.0,6.681859970092773,8.17459487915039,51.5302734375,779,779
6,7,250.0,6.424505710601807,10.06905746459961,46.99951171875,781,781
7,8,250.0,7.506031036376953,13.979642868041992,43.21435546875,762,762
8,9,250.0,9.044997215270996,15.632360458374023,56.817138671875,777,777
9,10,250.0,7.589049816131592,10.06122875213623,49.1865234375,781,781
10,11,250.0,5.0225629806518555,7.8898234367370605,35.669921875,783,783
11,12,250.0,4.318431854248047,6.539425849914551,36.7000732421875,782,782
12,13,250.0,4.46734619140625,7.235974311828613,41.2850341796875,775,775
13,14,250.0,3.3204009532928467,5.292295932769775,35.866943359375,778,778
14,15,250.0,3.63385272026062,5.873265743255615,35.6475830078125,776,776
15,16,250.0,4.597733497619629,7.185230731964111,29.0347900390625,771,771
16,17,250.0,6.956116199493408,17.367488861083984,52.68798828125,776,776
17,18,250.0,5.011990070343018,6.740481376647949,42.602783203125,777,777
18,19,250.0,5.647038459777832,12.195035934448242,42.2034912109375,780,780
19,20,250.0,2.9934234619140625,4.50070333480835,25.53369140625,773,773
20,21,250.0,6.1962199211120605,16.42278480529785,92.199462890625,778,778
21,22,250.0,21.76388931274414,41.00636291503906,106.72021484375,676,676
22,23,250.0,26.88627052307129,47.745574951171875,128.0655517578125,723,723
23,24,250.0,18.22734832763672,33.599937438964844,92.240478515625,738,738
24,25,250.0,15.340157508850098,30.419416427612305,81.64794921875,669,669
25,26,250.0,13.175137519836426,27.217548370361328,65.2445068359375,780,780
26,27,250.0,8.950010299682617,18.898099899291992,62.37158203125,783,783
27,28,250.0,10.606245994567871,23.905054092407227,70.5240478515625,799,799
28,29,250.0,13.160894393920898,25.917207717895508,76.233154296875,741,741
29,30,250.0,12.14033317565918,24.02505111694336,54.4072265625,746,746
30,31,250.0,11.866299629211426,26.638641357421875,63.923583984375,794,794
31,32,250.0,9.075708389282227,20.598678588867188,77.21630859375,796,796
32,33,250.0,5.217023849487305,10.78535270690918,50.8702392578125,790,790
33,34,250.0,2.867983818054199,4.71134614944458,29.6829833984375,802,802
34,35,250.0,4.107740879058838,8.773268699645996,36.23876953125,808,808
35,36,250.0,3.967383623123169,7.857671737670898,39.2161865234375,805,805
36,37,250.0,4.0615739822387695,6.319814205169678,44.23876953125,814,814
37,38,250.0,4.1047868728637695,5.911601543426514,46.217041015625,813,813
38,39,250.0,6.424013614654541,12.037178039550781,49.2374267578125,813,813
39,40,250.0,9.176958084106445,19.479215621948242,58.710205078125,811,811
40,41,250.0,9.656207084655762,21.804697036743164,65.361083984375,847,847
41,42,250.0,14.186387062072754,29.370441436767578,98.2286376953125,860,860
42,43,250.0,19.01180648803711,32.708473205566406,84.201904296875,860,860
43,44,250.0,18.29702377319336,31.691211700439453,86.657958984375,850,850
44,45,250.0,11.061735153198242,24.166465759277344,106.2216796875,855,855
45,46,250.0,8.81975269317627,18.48587989807129,67.74658203125,831,831
46,47,250.0,8.032459259033203,15.539019584655762,81.3001708984375,802,802
47,48,250.0,3.6976735591888428,5.3792948722839355,43.4742431640625,839,839
48,49,250.0,4.176816463470459,5.447083950042725,52.3399658203125,838,838
49,50,250.0,3.1054847240448,4.164253234863281,37.8326416015625,829,829
50,51,250.0,3.2685556411743164,4.036793231964111,41.1806640625,812,812
51,52,250.0,17.4643611907959,49.35044479370117,126.2283935546875,810,810
52,53,250.0,22.536354064941406,67.78507995605469,165.7999267578125,812,812
53,54,250.0,16.167945861816406,44.606910705566406,110.8597412109375,817,817
54,55,250.0,18.395586013793945,51.387481689453125,171.3607177734375,809,809
55,56,250.0,18.95958137512207,54.90755081176758,97.8935546875,817,817
56,57,250.0,15.939200401306152,37.31058883666992,99.947998046875,814,814
57,58,250.0,21.713729858398438,43.45460891723633,101.792236328125,815,815
58,59,250.0,18.875215530395508,38.81245422363281,101.98974609375,818,818
59,60,250.0,16.883752822875977,35.13840866088867,97.2998046875,814,814
60,61,250.0,18.352821350097656,48.24798583984375,158.17578125,836,836
61,62,250.0,21.609149932861328,51.38153076171875,122.068603515625,835,835
62,63,250.0,14.056811332702637,37.77854919433594,78.117919921875,836,836
63,64,250.0,6.651112079620361,14.896970748901367,55.056640625,827,827
64,65,250.0,5.5005340576171875,11.171222686767578,56.80419921875,841,841
65,66,250.0,5.792505264282227,11.771678924560547,55.015625,842,842
66,67,250.0,5.277469635009766,8.385680198669434,52.423583984375,838,838
67,68,250.0,3.651838541030884,4.486335277557373,50.884765625,839,839
68,69,250.0,4.386611461639404,5.04965877532959,67.95654296875,839,839
69,70,250.0,10.82044792175293,29.628406524658203,98.91943359375,838,838
70,71,250.0,12.173364639282227,29.42184066772461,86.703369140625,819,819
71,72,250.0,14.82468032836914,28.572952270507812,96.3056640625,812,812
72,73,250.0,8.793164253234863,21.910980224609375,52.30224609375,824,824
73,74,250.0,4.806881427764893,6.364239692687988,57.60888671875,828,828
74,75,250.0,4.502229690551758,5.911793231964111,52.0595703125,826,826
75,76,250.0,4.665285110473633,7.802373886108398,51.955078125,830,830
76,77,250.0,4.706899166107178,8.69087028503418,55.239013671875,827,827
77,78,250.0,4.28687858581543,6.548549652099609,52.58203125,826,826
78,79,250.0,4.750677108764648,7.730190277099609,64.989501953125,825,825
79,80,250.0,7.500931262969971,11.951925277709961,62.423095703125,822,822
80,81,250.0,7.22484827041626,14.698163032531738,77.439697265625,842,842
81,82,250.0,12.690183639526367,25.375274658203125,94.023193359375,847,847
82,83,250.0,13.166485786437988,26.726043701171875,90.2197265625,843,843
83,84,250.0,17.128847122192383,33.45625305175781,84.0029296875,838,838
84,85,250.0,14.162186622619629,29.17588233947754,87.40234375,845,845
85,86,250.0,8.841771125793457,16.735153198242188,65.12841796875,812,812
86,87,250.0,14.687995910644531,31.67515754699707,106.620849609375,811,811
87,88,250.0,11.959512710571289,22.55523681640625,76.574951171875,796,796
88,89,250.0,11.4479398727417,23.724651336669922,90.548583984375,813,813
89,90,250.0,6.8661580085754395,13.517631530761719,57.65185546875,809,809
90,91,250.0,4.410808563232422,6.708874702453613,56.167724609375,868,868
91,92,250.0,5.4900593757629395,9.132658004760742,64.44921875,870,870
92,93,250.0,5.369746685028076,9.202798843383789,60.93310546875,873,873
93,94,250.0,4.465673923492432,6.031563758850098,55.460205078125,867,867
94,95,250.0,6.3361663818359375,13.356561660766602,64.697265625,871,871
95,96,250.0,6.6284499168396,14.78765869140625,60.176025390625,837,837
96,97,250.0,7.493740081787109,14.47976303100586,71.21337890625,841,841
97,98,250.0,11.390681266784668,20.027515411376953,89.9140625,795,795
98,99,250.0,18.650529861450195,33.62017822265625,103.3583984375,773,773
99,100,250.0,20.024078369140625,35.153717041015625,131.571533203125,825,825
100,101,250.0,18.474346160888672,32.07052993774414,112.3759765625,831,831
101,102,250.0,21.80992889404297,39.93699645996094,164.991943359375,808,808
102,103,250.0,39.91646957397461,64.131103515625,162.8076171875,831,831
103,104,250.0,29.1415958404541,52.68967819213867,165.331298828125,837,837
104,105,250.0,25.97368049621582,45.47641372680664,133.718505859375,812,812
105,106,250.0,29.845388412475586,49.911705017089844,162.22314453125,836,836
106,107,250.0,28.003944396972656,58.56859588623047,168.521728515625,831,831
107,108,250.0,28.211780548095703,47.127418518066406,144.188232421875,830,830
108,109,250.0,27.4903507232666,44.47355270385742,124.328369140625,819,819
109,110,250.0,29.937156677246094,44.991024017333984,149.941162109375,832,832
110,111,250.0,31.00425910949707,44.63465118408203,145.64892578125,795,795
111,112,250.0,20.370790481567383,35.107906341552734,93.033203125,802,802
112,113,250.0,10.082582473754883,19.384553909301758,84.461669921875,795,795
113,114,250.0,9.596961975097656,15.559535026550293,59.0322265625,812,812
114,115,250.0,13.129830360412598,22.673019409179688,85.97216796875,805,805
115,116,250.0,20.584144592285156,35.51643753051758,115.650146484375,830,830
116,117,250.0,23.81584358215332,38.004058837890625,150.90576171875,830,830
117,118,250.0,14.268817901611328,26.89244842529297,110.98291015625,836,836
118,119,250.0,9.194636344909668,15.035972595214844,86.8994140625,842,842
119,120,250.0,6.034303188323975,9.227269172668457,78.515869140625,839,839
120,121,250.0,3.7493860721588135,4.979181289672852,53.35498046875,839,839
121,122,250.0,4.458065986633301,9.750860214233398,35.679931640625,836,836
122,123,250.0,6.256802558898926,11.29907512664795,42.039306640625,838,838
123,124,250.0,8.619795799255371,13.687470436096191,57.288330078125,835,835
124,125,250.0,9.276262283325195,12.709172248840332,75.850830078125,841,841
125,126,250.0,6.642884731292725,9.125144958496094,74.521728515625,833,833
126,127,250.0,4.421799659729004,7.790529251098633,27.8349609375,840,840
127,128,250.0,3.465721607208252,5.454823970794678,19.529541015625,840,840
128,129,250.0,6.560457229614258,10.278236389160156,52.2216796875,841,841
129,130,250.0,9.669522285461426,15.782320976257324,73.713623046875,844,844
