km_inicio,km_fin,elev_inicio_m,elev_fin_m,desnivel_neto_m,pendiente_neta_pct,pendiente_media_abs_pct,pendiente_max_abs_pct,n_muestras
0,1,1077.771728515625,1089.0753173828125,11.3035888671875,1.2395631562726894,1.3274061414930556,5.718587239583333,32
1,2,1089.0753173828125,1119.27197265625,30.1966552734375,3.3034919334830306,3.355183919270833,6.02294921875,32
2,3,1119.27197265625,1133.6162109375,14.34423828125,1.569363812342261,1.726535373263889,5.084635416666667,32
3,4,1133.6162109375,1159.623046875,26.0068359375,2.84528711069814,3.0335422092013897,8.591715494791668,32
4,5,1159.623046875,1185.042724609375,25.419677734375,2.7808255939550954,2.9685058593749996,8.249918619791668,32
5,6,1185.042724609375,1201.4295654296875,16.3868408203125,1.792661289378685,2.0961235894097228,7.583821614583333,32
6,7,1201.4295654296875,1208.4703369140625,7.040771484375,0.7708134118639548,2.414306640625,8.571370442708332,32
7,8,1208.4703369140625,1235.7647705078125,27.29443359375,3.0461429454994993,4.305167410954772,24.52041946405985,31
8,9,1235.7647705078125,1255.735595703125,19.9708251953125,2.1892617860134136,2.644029405381944,7.47802734375,32
9,10,1255.735595703125,1269.63525390625,13.899658203125,1.5203042204208668,2.3954264322916665,8.027750651041666,32
10,11,1269.63525390625,1267.758544921875,-1.876708984375,-0.20526915959080094,2.2356906467013884,5.788167317708334,32
11,12,1267.758544921875,1289.5462646484375,21.7877197265625,2.3938849566092197,2.4979790581597228,5.275065104166667,32
12,13,1289.5462646484375,1315.6683349609375,26.1220703125,2.865855437389114,2.974650065104167,6.252441406250001,32
13,14,1315.6683349609375,1331.874267578125,16.2059326171875,1.7796211029699809,2.0029839409722223,4.403076171875,32
14,15,1331.874267578125,1358.66162109375,26.787353515625,2.9343298961435593,2.970974392361111,7.949625651041667,32
15,16,1358.66162109375,1349.0980224609375,-9.5635986328125,-1.0611483202343353,3.239054361979167,14.044596354166666,32
16,17,1349.0980224609375,1363.4866943359375,14.388671875,1.5851846104470972,2.8307020399305562,17.923990885416664,32
17,18,1363.4866943359375,1345.7056884765625,-17.781005859375,-1.9512299804257862,2.331882052951388,5.03662109375,32
18,19,1345.7056884765625,1351.897216796875,6.1915283203125,0.6794169982747309,2.4548746744791665,6.296793619791667,32
19,20,1351.897216796875,1366.6826171875,14.785400390625,1.6271580024499184,1.9499511718750002,5.498860677083333,32
20,21,1366.6826171875,1394.861572265625,28.178955078125,3.095711551427107,3.2080078125000004,12.290445963541668,32
21,22,1394.861572265625,1420.084716796875,25.22314453125,2.964404134296324,9.220203218005953,32.682698567708336,30
22,23,1420.084716796875,1459.9896240234375,39.9049072265625,4.674328400568145,7.890377952938989,27.983805338541668,30
23,24,1459.9896240234375,1502.091064453125,42.1014404296875,4.846713076812972,5.209932992126262,13.142496744791668,30
24,25,1502.091064453125,1439.0284423828125,-63.0626220703125,-8.005634797946904,10.337039262820513,26.741129557291664,28
25,26,1439.0284423828125,1452.1859130859375,13.157470703125,1.4345170720712002,3.753445095486111,10.971272786458334,32
26,27,1452.1859130859375,1463.7645263671875,11.57861328125,1.2371185800925864,4.384030577956989,18.434244791666668,33
27,28,1463.7645263671875,1480.5416259765625,16.777099609375,1.7816902688022547,3.437723139280914,10.487060546875,33
28,29,1480.5416259765625,1517.7496337890625,37.2080078125,4.1753897549117935,5.825927734375001,14.037679036458334,31
29,30,1517.7496337890625,1545.225341796875,27.4757080078125,3.108153768195241,5.064556954920977,17.23876953125,31
30,31,1545.225341796875,1571.75830078125,26.532958984375,2.810092968210885,3.8317477318548385,12.718098958333332,33
31,32,1571.75830078125,1603.0689697265625,31.3106689453125,3.3394066449109783,3.6878228956653225,15.6884765625,33
32,33,1603.0689697265625,1628.802978515625,25.7340087890625,2.762331958028098,2.9967474168346775,9.304606119791666,33
33,34,1628.802978515625,1646.1800537109375,17.3770751953125,1.8329703018280887,2.361220493111559,6.844889322916667,33
34,35,1646.1800537109375,1666.7520751953125,20.572021484375,2.165949297368206,2.500945060483871,9.771728515625,33
35,36,1666.7520751953125,1690.898193359375,24.1461181640625,2.5021897506975614,2.5666427612304688,5.041910807291667,34
36,37,1690.898193359375,1716.1551513671875,25.2569580078125,2.617557274807596,2.7405420939127607,6.1328125,34
37,38,1716.1551513671875,1746.5423583984375,30.38720703125,3.1363647246290616,3.1528600056966147,5.607096354166666,34
38,39,1746.5423583984375,1775.1229248046875,28.58056640625,2.9534780035093426,3.387705485026042,8.795166015625,34
39,40,1775.1229248046875,1802.47119140625,27.3482666015625,2.8233389225837446,2.9313786824544272,8.116861979166666,34
40,41,1802.47119140625,1807.9600830078125,5.4888916015625,0.5360006908785816,5.634322820925245,23.57421875,36
41,42,1807.9600830078125,1843.696044921875,35.7359619140625,3.4014948096037507,4.726504371279762,12.436116536458334,37
42,43,1843.696044921875,1873.7198486328125,30.0238037109375,2.8567046051663723,4.7744256882440474,11.194661458333334,37
43,44,1873.7198486328125,1889.7159423828125,15.99609375,1.5365178873143759,6.783644903273809,30.953369140624996,36
44,45,1889.7159423828125,1846.1304931640625,-43.58544921875,-4.192403048674936,5.203510359221815,20.772705078125,36
45,46,1846.1304931640625,1830.014404296875,-16.1160888671875,-1.633661813814581,3.489389425685554,15.638834635416668,34
46,47,1830.014404296875,1815.5042724609375,-14.5101318359375,-1.501666894928187,4.091275533040365,13.100992838541666,34
47,48,1815.5042724609375,1846.0943603515625,30.590087890625,3.02201213894238,3.135076784620098,7.934163411458334,35
48,49,1846.0943603515625,1871.832763671875,25.7384033203125,2.5393737414967346,2.555302638633578,7.532552083333334,35
49,50,1871.832763671875,1896.40966796875,24.576904296875,2.4626063790999972,2.516670612373737,6.111246744791667,35
50,51,1896.40966796875,1923.822021484375,27.412353515625,2.834308255806511,2.8008015950520835,4.95849609375,34
51,52,1923.822021484375,1956.7115478515625,32.8895263671875,3.4147252852929104,3.607343037923177,11.337483723958334,34
52,53,1956.7115478515625,1979.8631591796875,23.151611328125,2.3879679192398497,3.1298065185546875,8.168538411458332,34
53,54,1979.8631591796875,2011.35205078125,31.4888916015625,3.2395673874069706,3.829663594563802,15.535888671875,34
54,55,2011.35205078125,2039.3853759765625,28.0333251953125,2.914843082720762,7.729225158691406,23.91357421875,34
55,56,2039.3853759765625,2065.985595703125,26.6002197265625,2.7259516733727494,2.6147079467773438,6.06689453125,34
56,57,2065.985595703125,2092.259521484375,26.27392578125,2.692483361952484,5.364837646484375,21.848958333333332,34
57,58,2092.259521484375,2117.13623046875,24.876708984375,2.5536700162739545,4.4612884521484375,16.312662760416664,34
58,59,2117.13623046875,2147.359375,30.22314453125,3.0959396726955286,3.7241363525390625,9.771321614583334,34
59,60,2147.359375,2173.285400390625,25.926025390625,2.6515771584170915,3.177591959635417,8.36181640625,34
60,61,2173.285400390625,2203.4912109375,30.205810546875,3.000200235125956,4.781679095643939,15.752766927083334,35
61,62,2203.4912109375,2226.03125,22.5400390625,2.244772278813784,2.9660126657196972,9.09423828125,35
62,63,2226.03125,2252.3271484375,26.2958984375,2.607818100753873,2.7671736900252526,6.334635416666666,35
63,64,2252.3271484375,2286.993408203125,34.666259765625,3.444997474980338,3.368770714962121,9.6728515625,35
64,65,2286.993408203125,2312.433349609375,25.43994140625,2.512883534884757,3.5145212952779286,15.545247395833334,35
65,66,2312.433349609375,2347.973876953125,35.54052734375,3.522678281777093,4.003561000631313,9.5751953125,35
66,67,2347.973876953125,2380.51904296875,32.545166015625,3.217569967012927,3.2234985822469575,8.439127604166668,35
67,68,2380.51904296875,2415.181396484375,34.662353515625,3.4197890634152155,3.4878787611986097,6.438802083333334,35
68,69,2415.181396484375,2450.2099609375,35.028564453125,3.4557061175773547,3.472114708669419,7.246907552083333,35
69,70,2450.2099609375,2485.686767578125,35.476806640625,3.534487836703642,4.129355074179292,10.614420572916666,35
70,71,2485.686767578125,2518.89990234375,33.213134765625,3.362741081325031,3.61380340046453,10.138346354166666,34
71,72,2518.89990234375,2551.535400390625,32.635498046875,3.3442234785368403,5.453313191731771,17.775065104166668,34
72,73,2551.535400390625,2584.27294921875,32.737548828125,3.3109143602739644,3.3806001273058297,6.362304687500001,34
73,74,2584.27294921875,2619.252685546875,34.979736328125,3.5322475957577733,3.5333066998106064,6.924641927083333,35
74,75,2619.252685546875,2646.24267578125,26.989990234375,2.729182815277975,2.757613238519903,5.20263671875,34
75,76,2646.24267578125,2680.923095703125,34.680419921875,3.5163311779476305,4.173424386207468,9.5654296875,34
76,77,2680.923095703125,2714.27880859375,33.355712890625,3.3711904248626983,3.4058388897926384,6.974283854166667,34
77,78,2714.27880859375,2744.67041015625,30.3916015625,3.0675048730297507,3.16638060290404,6.034342447916666,35
78,79,2744.67041015625,2772.3349609375,27.66455078125,2.8029191575733274,2.9284325451952196,7.46337890625,34
79,80,2772.3349609375,2803.60546875,31.2705078125,3.1646328863173125,4.25047709705644,23.575032552083332,34
80,81,2803.60546875,2835.614013671875,32.008544921875,3.1392376958237116,3.138398917072905,8.017578125,35
81,82,2835.614013671875,2867.592529296875,31.978515625,3.14351693549164,3.264276855101623,9.166666666666666,35
82,83,2867.592529296875,2901.127685546875,33.53515625,3.306628279829508,3.2877604166666665,7.064615885416667,35
83,84,2901.127685546875,2931.587646484375,30.4599609375,3.0000824265218253,3.009941302671097,6.151529947916667,35
84,85,2931.587646484375,2962.095947265625,30.50830078125,2.9982830386637525,4.173024466711182,14.447428385416666,35
85,86,2962.095947265625,2992.243896484375,30.14794921875,3.111787395543642,3.537139892578125,10.489095052083334,34
86,87,2992.243896484375,3025.92138671875,33.677490234375,3.477642248644636,4.531428019205729,14.299316406250002,34
87,88,3025.92138671875,3052.009521484375,26.088134765625,2.7448603294090206,2.8555730898590332,6.283365885416667,33
88,89,3052.009521484375,3080.202392578125,28.19287109375,2.9183270975014266,3.051808675130208,5.90576171875,34
89,90,3080.202392578125,3113.1572265625,32.954833984375,3.390021506850734,3.5039011637369795,6.36474609375,34
90,91,3113.1572265625,3151.417724609375,38.260498046875,3.6246401597668934,3.648879278273809,8.189290364583334,37
91,92,3151.417724609375,3191.830078125,40.412353515625,3.797996744771728,3.799525669642858,6.739908854166667,37
92,93,3191.830078125,3229.45556640625,37.62548828125,3.5368563648390037,3.707356770833333,8.924967447916666,37
93,94,3229.45556640625,3266.468017578125,37.012451171875,3.48512041744747,3.4217587425595237,7.566731770833333,37
94,95,3266.468017578125,3304.054443359375,37.58642578125,3.5283295942525696,3.6409737723214284,8.326009114583334,37
95,96,3304.054443359375,3339.054443359375,35.0,3.4560859466751435,3.679744234540881,8.219401041666668,35
96,97,3339.054443359375,3373.927734375,34.873291015625,3.4434981230242236,3.7146238789360515,7.792154947916667,35
97,98,3373.927734375,3404.79833984375,30.87060546875,3.2888329863658514,5.064237861223118,18.333333333333332,33
98,99,3404.79833984375,3436.31884765625,31.5205078125,3.4167363949372884,4.918934811827957,12.55859375,32
99,100,3436.31884765625,3483.740478515625,47.421630859375,4.738511824466116,4.886782867739899,22.141927083333332,35
100,101,3483.740478515625,3518.89794921875,35.157470703125,3.500776688124954,6.097523082386363,15.839843749999998,35
101,102,3518.89794921875,3544.886474609375,25.988525390625,2.650870052451002,4.7218275112387955,15.023600260416666,34
102,103,3544.886474609375,3579.588623046875,34.7021484375,3.463593602753042,7.221876972853536,19.46533203125,35
103,104,3579.588623046875,3619.116455078125,39.52783203125,3.9206641623731158,4.666217842487374,13.538411458333332,35
104,105,3619.116455078125,3641.5380859375,22.421630859375,2.290665494008862,5.287195841471354,18.25927734375,34
105,106,3641.5380859375,3680.984130859375,39.446044921875,3.9243750328102163,5.286729600694444,12.34619140625,35
106,107,3680.984130859375,3723.1494140625,42.165283203125,4.194293797989293,6.435670178345959,18.983561197916668,35
107,108,3723.1494140625,3765.29443359375,42.14501953125,4.200557565370191,5.470525568181818,20.228678385416668,35
108,109,3765.29443359375,3800.961669921875,35.667236328125,3.6263270021563336,5.406114048154464,14.430338541666668,34
109,110,3800.961669921875,3858.039794921875,57.078125,5.784712349766626,8.237157736676249,16.712239583333332,34
110,111,3858.039794921875,3912.51123046875,54.471435546875,5.7632273104458225,6.194083921370967,16.786295572916668,33
111,112,3912.51123046875,3957.98193359375,45.470703125,4.734602917252535,6.717020670572916,13.908691406250002,34
112,113,3957.98193359375,4006.92529296875,48.943359375,5.123713339248769,5.338533912414601,14.5361328125,33
113,114,4006.92529296875,3996.66259765625,-10.2626953125,-1.0672161142612926,5.137736002604167,15.115559895833334,34
114,115,3996.66259765625,3943.095947265625,-53.566650390625,-5.578731808404469,5.5798594156901045,19.037272135416668,34
115,116,3943.095947265625,3886.75341796875,-56.342529296875,-5.639504101716534,5.449637981376262,12.530110677083334,35
116,117,3886.75341796875,3833.012939453125,-53.740478515625,-5.326672887606288,5.78857421875,11.194661458333334,35
117,118,3833.012939453125,3799.27392578125,-33.739013671875,-3.367372484791456,3.9123658459595965,14.029947916666666,35
118,119,3799.27392578125,3754.638427734375,-44.635498046875,-4.402924252632036,4.737382610804059,13.420410156250002,35
119,120,3754.638427734375,3707.034423828125,-47.60400390625,-4.695086774780889,4.691653062585688,9.596354166666666,35
120,121,3707.034423828125,3670.923095703125,-36.111328125,-3.568805140703437,3.5633106122752305,7.163899739583333,35
121,122,3670.923095703125,3653.36669921875,-17.556396484375,-1.7412628791688307,2.0298443418560606,5.227864583333333,35
122,123,3653.36669921875,3651.47119140625,-1.8955078125,-0.1872717188016264,2.5190940146967016,12.296331916354529,35
123,124,3651.47119140625,3658.484619140625,7.013427734375,0.6932742650967411,4.403343160788971,9.119466145833334,35
124,125,3658.484619140625,3693.549560546875,35.06494140625,3.4616816400101045,4.529924734848694,7.129720052083334,35
125,126,3693.549560546875,3741.103759765625,47.55419921875,4.727112697036497,4.645058988320708,10.852864583333334,35
126,127,3741.103759765625,3737.677734375,-3.426025390625,-0.33865562595497467,1.9790469898897054,5.71533203125,35
127,128,3737.677734375,3740.881103515625,3.203369140625,0.31604063927559317,1.3281633102720645,4.303385416666667,35
128,129,3740.881103515625,3709.36328125,-31.517822265625,-3.117660706808032,3.2380863769506663,7.501627604166666,35
129,130,3709.36328125,3670.162841796875,-39.200439453125,-3.8698562944929646,4.509247264601005,8.990071614583334,35
